to register,s'inscrire
overleaf,au verso
to require,nécessiter
"accommodation, lodging",logement
agenda,planning
to congratulate,féliciter
"feedback, reactions","réaction"
"did I happen to..., did I... by any chance",est-ce que... par hasard
schedule,un emploi du temps
improvement,une amélioration
to praise,"louer,dire du bien de"
recipe,une recette
pinch,une pincée
oven,un four
smooth,lisse
to sift,tamiser
sieve,un tamis
to bake,faire cuire
the edge,un bord
to cool,faire refroidir
flour,farine
saucepan,une casserole
mall,un centre commercial
huge,"grand, vaste"
range of...,"une gamme de..., un éventail de..."
"subway, underground, tube",métro
locker,un casier
to head towards,se diriger vers
"to ensure, guarantee",garantir
to store,stocker
"restroom, bathroom, toilet",WC
"to unwind, relax",se détendre
throughout,à travers
facilities,"services, infrastructures"
entertainment,divertissement
to clamp,mettre un sabot
to tow away,emporter en fourrière
owner,un propriétaire
stay,un séjour
"gift, present",un cadeau
maid,une femme de chambre
pet,un animal domestique
"refund, reimbursement (indén.)",remboursement
"additional, extra",supplémentaire
to cancel,annuler
to rent,louer
to state,stipuler
"to comply with, to meet (safety standards)",respecter
"free of charge, free",gratuit
grant,"une aide financière, une subvention"
"elderly, old",âgé
available,disponible
"ruling, court decision",une décision de justice
"to purchase, to buy",acheter
"to provide,to supply",fournir
"to be displeased,unhappy at sth",ne pas être content de qqch
"to find out,to discover","découvrir, déterminer"
injury,une blessure
casualty,blessé
fatality,mort
leak,fuite
"shortage, lack","une pénurie, un manque"
headquarters,"siège social, QG"
"to issue, to publish","émettre, publier"
"to occur, to happen",arriver
oil,pétrole
"by the end of the year, before the end of the year",d'ici la fin de l'année
"to fire, to lay off, to dismiss, to sack",licencier
to weigh,peser
weight,poids
scales,une/des balances
height,hauteur
high,haut
width,largeur
"wide, broad ≠ narrow",large ≠ étroit
"large, big",grand
to ship,expédier
of (the) utmost importance,de lplus haute importance
accurate,"précis, exact"
"fee, fees",des frais
tape,scotch
to promote,promouvoir
to complain,se plaindre
to file complaint,porter plainte
unfair,injuste
to find sb guilty/innocent,reconnaître qqun coupable/innocent
to be found guilty/innocent,être reconnu coupable/innocent
to gather,réunir
fair,"une foire, un salon"
"resume, CV",un CV
"to collect, to gather","collecter,réunir"
household,foyer
"purpose, aim, goal",but
pick-up,une collecte
"all at once, at the same time",en même temps
"over, during (the week-end, the holidays...)",pendant
lecturer,un conférencier
"lecture, summit",conférence
"to attend (lesson, conference)",assister à...
training,formation
"in a rush, in a hurry",pressé
delivery,livraison
to order,passer commande
growth,croissance
"trend, tendency",tendance
overseas,outremer
"to focus on, to concentrate on",se concentrer sur
trade show,salon professionel
"to keep abreast of, to keep up-to-date regarding",se tenir au courant de
skill,compétence
to advertise,faire de la publicité
awareness campaign,campagne de sensibilisation
profitable,rentable
"formation, creation",formation
"shareholder, stakeholder",actionnaire
"stock, share",action
agreement,accord
consumer,consommateur
customer,client
according to,selon
brand,marque
to waste ≠ to save,gaspiller ≠ économiser
to involve,impliquer
habit,habitude
"amount, quantity",quantité
"to increase rapidly, to boom, to skyrocket",monter en flèche
"to book, to reserve",réserver
"amenities, comfort features",équipements
to imply,"impliquer, sous-entendre"
to set trend,lancer une tendance
trip,voyage
loss,perte
to reverse,inverser
to be committed to,"être dévoué à, être engagé"
average,moyen
sensitive,sensible
sensible,"raisonnable, sensé"
dispenser,distributeur
to be likely,être probable
tissue,mouchoir
furniture (indén.),mobilier
household appliance,appareil électroménager
"provider, supplier",fournisseur
dryer,séchoir
tumble dryer,sèche-linge
hair dryer,sèche-cheveux
"to relocate, to move",déménager
"to seek, to look for",chercher
to train,former
profits,bénéfices
applicant,candidat
sale,vente
to be eligible for,avoir droit à
"wage, salary",salaire
"regulation, rule",règle
"monthly, once month",mensuel
"benefits package (retirement saving scheme, health
insurance, paid holidays, maternity leave, sick leave)",ensemble d'avantages sociaux
"further (thoughts, information...), additional",supplémentaire
meter,compteur
"car park, parking lot",parking
coin,pièce de monnaie
fine,amende
"invoice, a bill",facture
the bill,l'addition
previous,précédent
"to increase, to raise",augmenter
"thorough, detailed","approfondi, complet, minutieux"
"to be a hassle, to be complicated",être compliqué
resort,lieu de villégiature
carefree,insouciant
to go sightseeing,aller faire du tourisme
climbing,escalade
deep ≠ shallow,"profond ≠ peu profond, superficiel"
to enjoy,apprécier
to handle,gérer
overdue,en retard
prior (knowledge),préalable
proficient,compétent
to expect,s'attendre à
blurb,4ème de couverture
state-of-the-art,dernier cri
"on the whole, globally",dans l'ensemble
comprehensive,complet
flat,plat
music stand,pupitre
"overall, global",global
rating,évaluation
the least ≠ the most,le moins ≠ le plus
to claim,"affirmer, revendiquer"
to cope with,gérer qqch
daughter ≠ son,fille ≠ fils
DIY (Do It Yourself),bricolage
to share,partager
tool,outil
to deserve,mériter
to some extent,dans une certaine mesure
advice (indén.),des conseils
